technique,sample_id,step,anomaly_score,flagged,evaded_at_step
mimicry_attack,0,0,0.230147,0,0
mimicry_attack,0,1,0.228693,0,0
mimicry_attack,0,2,0.227207,0,0
mimicry_attack,0,3,0.2258,0,0
mimicry_attack,0,4,0.224434,0,0
mimicry_attack,0,5,0.22308,0,0
mimicry_attack,0,6,0.221753,0,0
mimicry_attack,0,7,0.220421,0,0
mimicry_attack,0,8,0.219336,0,0
mimicry_attack,0,9,0.218328,0,0
mimicry_attack,0,10,0.217383,0,0
mimicry_attack,0,11,0.216496,0,0
mimicry_attack,0,12,0.215875,0,0
mimicry_attack,0,13,0.215563,0,0
mimicry_attack,0,14,0.215423,0,0
mimicry_attack,0,15,0.215377,0,0
mimicry_attack,0,16,0.21541,0,0
mimicry_attack,0,17,0.215572,0,0
mimicry_attack,0,18,0.21588,0,0
mimicry_attack,0,19,0.216358,0,0
mimicry_attack,0,20,0.217203,0,0
feature_padding_attack,0,0,0.230147,0,0
feature_padding_attack,0,1,0.228693,0,0
feature_padding_attack,0,2,0.227207,0,0
feature_padding_attack,0,3,0.2258,0,0
feature_padding_attack,0,4,0.224434,0,0
feature_padding_attack,0,5,0.22308,0,0
feature_padding_attack,0,6,0.221753,0,0
feature_padding_attack,0,7,0.220421,0,0
feature_padding_attack,0,8,0.219336,0,0
feature_padding_attack,0,9,0.218328,0,0
feature_padding_attack,0,10,0.217383,0,0
feature_padding_attack,0,11,0.216496,0,0
feature_padding_attack,0,12,0.215875,0,0
feature_padding_attack,0,13,0.215563,0,0
feature_padding_attack,0,14,0.215423,0,0
feature_padding_attack,0,15,0.215377,0,0
feature_padding_attack,0,16,0.21541,0,0
feature_padding_attack,0,17,0.215572,0,0
feature_padding_attack,0,18,0.21588,0,0
feature_padding_attack,0,19,0.216358,0,0
feature_padding_attack,0,20,0.217203,0,0
slow_drip_attack,0,0,0.167491,0,0
slow_drip_attack,0,1,0.167491,0,0
slow_drip_attack,0,2,0.167491,0,0
slow_drip_attack,0,3,0.167491,0,0
slow_drip_attack,0,4,0.167491,0,0
slow_drip_attack,0,5,0.167491,0,0
slow_drip_attack,0,6,0.167491,0,0
slow_drip_attack,0,7,0.167491,0,0
slow_drip_attack,0,8,0.167491,0,0
slow_drip_attack,0,9,0.167491,0,0
mimicry_attack,1,0,0.176501,0,0
mimicry_attack,1,1,0.174537,0,0
mimicry_attack,1,2,0.172584,0,0
mimicry_attack,1,3,0.170669,0,0
mimicry_attack,1,4,0.168837,0,0
mimicry_attack,1,5,0.16703,0,0
mimicry_attack,1,6,0.165312,0,0
mimicry_attack,1,7,0.163725,0,0
mimicry_attack,1,8,0.162205,0,0
mimicry_attack,1,9,0.16079,0,0
mimicry_attack,1,10,0.15955,0,0
mimicry_attack,1,11,0.158396,0,0
mimicry_attack,1,12,0.157382,0,0
mimicry_attack,1,13,0.156469,0,0
mimicry_attack,1,14,0.155683,0,0
mimicry_attack,1,15,0.155016,0,0
mimicry_attack,1,16,0.154292,0,0
mimicry_attack,1,17,0.152352,0,0
mimicry_attack,1,18,0.146258,0,0
mimicry_attack,1,19,0.135666,0,0
mimicry_attack,1,20,0.129733,0,0
feature_padding_attack,1,0,0.176501,0,0
feature_padding_attack,1,1,0.174537,0,0
feature_padding_attack,1,2,0.172584,0,0
feature_padding_attack,1,3,0.170669,0,0
feature_padding_attack,1,4,0.168837,0,0
feature_padding_attack,1,5,0.16703,0,0
feature_padding_attack,1,6,0.165312,0,0
feature_padding_attack,1,7,0.163725,0,0
feature_padding_attack,1,8,0.162205,0,0
feature_padding_attack,1,9,0.16079,0,0
feature_padding_attack,1,10,0.15955,0,0
feature_padding_attack,1,11,0.158396,0,0
feature_padding_attack,1,12,0.157382,0,0
feature_padding_attack,1,13,0.156469,0,0
feature_padding_attack,1,14,0.155683,0,0
feature_padding_attack,1,15,0.155016,0,0
feature_padding_attack,1,16,0.154292,0,0
feature_padding_attack,1,17,0.152352,0,0
feature_padding_attack,1,18,0.146258,0,0
feature_padding_attack,1,19,0.135666,0,0
feature_padding_attack,1,20,0.129733,0,0
slow_drip_attack,1,0,0.10446,0,0
slow_drip_attack,1,1,0.10446,0,0
slow_drip_attack,1,2,0.10446,0,0
slow_drip_attack,1,3,0.10446,0,0
slow_drip_attack,1,4,0.10446,0,0
slow_drip_attack,1,5,0.10446,0,0
slow_drip_attack,1,6,0.10446,0,0
slow_drip_attack,1,7,0.10446,0,0
slow_drip_attack,1,8,0.10446,0,0
slow_drip_attack,1,9,0.10446,0,0
mimicry_attack,2,0,0.161051,0,0
mimicry_attack,2,1,0.161394,0,0
mimicry_attack,2,2,0.161311,0,0
mimicry_attack,2,3,0.160638,0,0
mimicry_attack,2,4,0.159832,0,0
mimicry_attack,2,5,0.158799,0,0
mimicry_attack,2,6,0.157716,0,0
mimicry_attack,2,7,0.156614,0,0
mimicry_attack,2,8,0.155433,0,0
mimicry_attack,2,9,0.154177,0,0
mimicry_attack,2,10,0.15309,0,0
mimicry_attack,2,11,0.152068,0,0
mimicry_attack,2,12,0.151114,0,0
mimicry_attack,2,13,0.150089,0,0
mimicry_attack,2,14,0.149004,0,0
mimicry_attack,2,15,0.14773,0,0
mimicry_attack,2,16,0.146019,0,0
mimicry_attack,2,17,0.141112,0,0
mimicry_attack,2,18,0.131637,0,0
mimicry_attack,2,19,0.125212,0,0
mimicry_attack,2,20,0.123443,0,0
feature_padding_attack,2,0,0.161051,0,0
feature_padding_attack,2,1,0.161394,0,0
feature_padding_attack,2,2,0.161311,0,0
feature_padding_attack,2,3,0.160638,0,0
feature_padding_attack,2,4,0.159832,0,0
feature_padding_attack,2,5,0.158799,0,0
feature_padding_attack,2,6,0.157716,0,0
feature_padding_attack,2,7,0.156614,0,0
feature_padding_attack,2,8,0.155433,0,0
feature_padding_attack,2,9,0.154177,0,0
feature_padding_attack,2,10,0.15309,0,0
feature_padding_attack,2,11,0.152068,0,0
feature_padding_attack,2,12,0.151114,0,0
feature_padding_attack,2,13,0.150089,0,0
feature_padding_attack,2,14,0.149004,0,0
feature_padding_attack,2,15,0.14773,0,0
feature_padding_attack,2,16,0.146019,0,0
feature_padding_attack,2,17,0.141112,0,0
feature_padding_attack,2,18,0.131637,0,0
feature_padding_attack,2,19,0.125212,0,0
feature_padding_attack,2,20,0.123443,0,0
slow_drip_attack,2,0,0.097811,0,0
slow_drip_attack,2,1,0.097811,0,0
slow_drip_attack,2,2,0.097811,0,0
slow_drip_attack,2,3,0.097811,0,0
slow_drip_attack,2,4,0.097811,0,0
slow_drip_attack,2,5,0.097811,0,0
slow_drip_attack,2,6,0.097811,0,0
slow_drip_attack,2,7,0.097811,0,0
slow_drip_attack,2,8,0.097811,0,0
slow_drip_attack,2,9,0.097811,0,0
mimicry_attack,3,0,0.247057,0,0
mimicry_attack,3,1,0.24576,0,0
mimicry_attack,3,2,0.244457,0,0
mimicry_attack,3,3,0.243455,0,0
mimicry_attack,3,4,0.242546,0,0
mimicry_attack,3,5,0.241761,0,0
mimicry_attack,3,6,0.241111,0,0
mimicry_attack,3,7,0.240681,0,0
mimicry_attack,3,8,0.240357,0,0
mimicry_attack,3,9,0.240253,0,0
mimicry_attack,3,10,0.240222,0,0
mimicry_attack,3,11,0.240199,0,0
mimicry_attack,3,12,0.240163,0,0
mimicry_attack,3,13,0.240202,0,0
mimicry_attack,3,14,0.240312,0,0
mimicry_attack,3,15,0.240532,0,0
mimicry_attack,3,16,0.240778,0,0
mimicry_attack,3,17,0.241078,0,0
mimicry_attack,3,18,0.241431,0,0
mimicry_attack,3,19,0.241828,0,0
mimicry_attack,3,20,0.242278,0,0
feature_padding_attack,3,0,0.247057,0,0
feature_padding_attack,3,1,0.24576,0,0
feature_padding_attack,3,2,0.244457,0,0
feature_padding_attack,3,3,0.243455,0,0
feature_padding_attack,3,4,0.242546,0,0
feature_padding_attack,3,5,0.241761,0,0
feature_padding_attack,3,6,0.241111,0,0
feature_padding_attack,3,7,0.240681,0,0
feature_padding_attack,3,8,0.240357,0,0
feature_padding_attack,3,9,0.240253,0,0
feature_padding_attack,3,10,0.240222,0,0
feature_padding_attack,3,11,0.240199,0,0
feature_padding_attack,3,12,0.240163,0,0
feature_padding_attack,3,13,0.240202,0,0
feature_padding_attack,3,14,0.240312,0,0
feature_padding_attack,3,15,0.240532,0,0
feature_padding_attack,3,16,0.240778,0,0
feature_padding_attack,3,17,0.241078,0,0
feature_padding_attack,3,18,0.241431,0,0
feature_padding_attack,3,19,0.241828,0,0
feature_padding_attack,3,20,0.242278,0,0
slow_drip_attack,3,0,0.15428,0,0
slow_drip_attack,3,1,0.15428,0,0
slow_drip_attack,3,2,0.15428,0,0
slow_drip_attack,3,3,0.15428,0,0
slow_drip_attack,3,4,0.15428,0,0
slow_drip_attack,3,5,0.15428,0,0
slow_drip_attack,3,6,0.15428,0,0
slow_drip_attack,3,7,0.15428,0,0
slow_drip_attack,3,8,0.15428,0,0
slow_drip_attack,3,9,0.15428,0,0
mimicry_attack,4,0,0.18947,0,0
mimicry_attack,4,1,0.187348,0,0
mimicry_attack,4,2,0.185288,0,0
mimicry_attack,4,3,0.183313,0,0
mimicry_attack,4,4,0.181456,0,0
mimicry_attack,4,5,0.179741,0,0
mimicry_attack,4,6,0.178089,0,0
mimicry_attack,4,7,0.176471,0,0
mimicry_attack,4,8,0.174928,0,0
mimicry_attack,4,9,0.173519,0,0
mimicry_attack,4,10,0.172283,0,0
mimicry_attack,4,11,0.17127,0,0
mimicry_attack,4,12,0.170233,0,0
mimicry_attack,4,13,0.169221,0,0
mimicry_attack,4,14,0.168312,0,0
mimicry_attack,4,15,0.1676,0,0
mimicry_attack,4,16,0.166848,0,0
mimicry_attack,4,17,0.165811,0,0
mimicry_attack,4,18,0.163261,0,0
mimicry_attack,4,19,0.155521,0,0
mimicry_attack,4,20,0.143336,0,0
feature_padding_attack,4,0,0.18947,0,0
feature_padding_attack,4,1,0.187348,0,0
feature_padding_attack,4,2,0.185288,0,0
feature_padding_attack,4,3,0.183313,0,0
feature_padding_attack,4,4,0.181456,0,0
feature_padding_attack,4,5,0.179741,0,0
feature_padding_attack,4,6,0.178089,0,0
feature_padding_attack,4,7,0.176471,0,0
feature_padding_attack,4,8,0.174928,0,0
feature_padding_attack,4,9,0.173519,0,0
feature_padding_attack,4,10,0.172283,0,0
feature_padding_attack,4,11,0.17127,0,0
feature_padding_attack,4,12,0.170233,0,0
feature_padding_attack,4,13,0.169221,0,0
feature_padding_attack,4,14,0.168312,0,0
feature_padding_attack,4,15,0.1676,0,0
feature_padding_attack,4,16,0.166848,0,0
feature_padding_attack,4,17,0.165811,0,0
feature_padding_attack,4,18,0.163261,0,0
feature_padding_attack,4,19,0.155521,0,0
feature_padding_attack,4,20,0.143336,0,0
slow_drip_attack,4,0,0.114677,0,0
slow_drip_attack,4,1,0.114677,0,0
slow_drip_attack,4,2,0.114677,0,0
slow_drip_attack,4,3,0.114677,0,0
slow_drip_attack,4,4,0.114677,0,0
slow_drip_attack,4,5,0.114677,0,0
slow_drip_attack,4,6,0.114677,0,0
slow_drip_attack,4,7,0.114677,0,0
slow_drip_attack,4,8,0.114677,0,0
slow_drip_attack,4,9,0.114677,0,0
mimicry_attack,5,0,0.271936,0,0
mimicry_attack,5,1,0.271679,0,0
mimicry_attack,5,2,0.271475,0,0
mimicry_attack,5,3,0.271325,0,0
mimicry_attack,5,4,0.27122,0,0
mimicry_attack,5,5,0.271203,0,0
mimicry_attack,5,6,0.271584,0,0
mimicry_attack,5,7,0.272015,0,0
mimicry_attack,5,8,0.272286,0,0
mimicry_attack,5,9,0.272533,0,0
mimicry_attack,5,10,0.272804,0,0
mimicry_attack,5,11,0.273116,0,0
mimicry_attack,5,12,0.273461,0,0
mimicry_attack,5,13,0.27387,0,0
mimicry_attack,5,14,0.274313,0,0
mimicry_attack,5,15,0.274774,0,0
mimicry_attack,5,16,0.275274,0,0
mimicry_attack,5,17,0.275827,0,0
mimicry_attack,5,18,0.276465,0,0
mimicry_attack,5,19,0.277193,0,0
mimicry_attack,5,20,0.277959,0,0
feature_padding_attack,5,0,0.271936,0,0
feature_padding_attack,5,1,0.271679,0,0
feature_padding_attack,5,2,0.271475,0,0
feature_padding_attack,5,3,0.271325,0,0
feature_padding_attack,5,4,0.27122,0,0
feature_padding_attack,5,5,0.271203,0,0
feature_padding_attack,5,6,0.271584,0,0
feature_padding_attack,5,7,0.272015,0,0
feature_padding_attack,5,8,0.272286,0,0
feature_padding_attack,5,9,0.272533,0,0
feature_padding_attack,5,10,0.272804,0,0
feature_padding_attack,5,11,0.273116,0,0
feature_padding_attack,5,12,0.273461,0,0
feature_padding_attack,5,13,0.27387,0,0
feature_padding_attack,5,14,0.274313,0,0
feature_padding_attack,5,15,0.274774,0,0
feature_padding_attack,5,16,0.275274,0,0
feature_padding_attack,5,17,0.275827,0,0
feature_padding_attack,5,18,0.276465,0,0
feature_padding_attack,5,19,0.277193,0,0
feature_padding_attack,5,20,0.277959,0,0
slow_drip_attack,5,0,0.21461,0,0
slow_drip_attack,5,1,0.21461,0,0
slow_drip_attack,5,2,0.21461,0,0
slow_drip_attack,5,3,0.21461,0,0
slow_drip_attack,5,4,0.21461,0,0
slow_drip_attack,5,5,0.21461,0,0
slow_drip_attack,5,6,0.21461,0,0
slow_drip_attack,5,7,0.21461,0,0
slow_drip_attack,5,8,0.21461,0,0
slow_drip_attack,5,9,0.21461,0,0
mimicry_attack,6,0,0.227729,0,0
mimicry_attack,6,1,0.226248,0,0
mimicry_attack,6,2,0.224799,0,0
mimicry_attack,6,3,0.223548,0,0
mimicry_attack,6,4,0.222455,0,0
mimicry_attack,6,5,0.221405,0,0
mimicry_attack,6,6,0.220401,0,0
mimicry_attack,6,7,0.219457,0,0
mimicry_attack,6,8,0.218557,0,0
mimicry_attack,6,9,0.217718,0,0
mimicry_attack,6,10,0.217214,0,0
mimicry_attack,6,11,0.217027,0,0
mimicry_attack,6,12,0.216918,0,0
mimicry_attack,6,13,0.216913,0,0
mimicry_attack,6,14,0.217009,0,0
mimicry_attack,6,15,0.217207,0,0
mimicry_attack,6,16,0.217482,0,0
