event_id,user_id,timestamp,device_fingerprint,os,ip,geo_city,geo_country,lat,lon,vpn_detected,login_success,activity,is_anomalous_ground_truth,anomaly_type,implied_speed_kmh,user_home_tz,user_local_hour,event_city_tz
8e301d13-18d0-43a8-a92c-42a43b0e41da,u_012,2026-06-01T07:55:51,android-brave-2f0ebf,Android,193.136.174.186,Mumbai,IN,19.076,72.8777,False,True,college_portal,False,,,Asia/Kolkata,13,Asia/Kolkata
d67e4a54-b524-42ef-a9d6-81a1a3b775ae,u_008,2026-06-01T08:27:56,ubuntulinux-edge-b65707,Ubuntu Linux,17.108.161.235,Moscow,RU,55.7558,37.6173,False,True,dns_heavy_session,False,,,Europe/Moscow,11,Europe/Moscow
c4ec6fdf-4b30-40f8-bf1c-74ac485d4c60,u_014,2026-06-01T09:01:40,chromeos-brave-186f54,ChromeOS,1.165.250.243,Bengaluru,IN,12.9716,77.5946,False,True,bulk_data_transfer,False,,,Asia/Kolkata,14,Asia/Kolkata
081dafd5-ff9b-48ad-a31e-289d860d3654,u_005,2026-06-01T09:07:31,ios-edge-2fd587,iOS,21.119.51.165,London,GB,51.5074,-0.1278,False,True,web_browsing,False,,,Europe/London,9,Europe/London
0d93550d-fe6e-4bdb-8335-bcdb2e1fce96,u_000,2026-06-01T09:08:18,windows10-edge-f854f4,Windows 10,63.114.71.252,Mumbai,IN,19.076,72.8777,False,True,email_access,False,,,Asia/Kolkata,14,Asia/Kolkata
ee956443-450c-498e-82a8-1f99026b71e7,u_013,2026-06-01T09:19:28,android-edge-439332,Android,129.91.54.98,Delhi,IN,28.6139,77.209,False,True,web_browsing,False,,,Asia/Kolkata,14,Asia/Kolkata
a1dc8928-f806-4dac-b7ef-e1cfe90e4727,u_010,2026-06-01T09:22:39,windows11-firefox-b00913,Windows 11,131.252.46.211,Moscow,RU,55.7558,37.6173,False,True,vpn_admin_panel,False,,,Europe/Moscow,12,Europe/Moscow
41792045-536e-465e-be49-f345b412f5f2,u_013,2026-06-01T09:37:06,android-edge-439332,Android,129.91.54.86,Delhi,IN,28.6139,77.209,False,True,college_portal,False,,,Asia/Kolkata,15,Asia/Kolkata
db4efb2c-6ca8-44f1-9745-1aa02ea92c4a,u_003,2026-06-01T09:42:59,windows10-safari-99c85a,Windows 10,25.183.176.96,Mumbai,IN,19.076,72.8777,False,True,file_download,False,,,Asia/Kolkata,15,Asia/Kolkata
8e9ff7b7-2024-43ba-b2a9-e999f82cbfad,u_008,2026-06-01T09:48:47,ubuntulinux-edge-b65707,Ubuntu Linux,17.108.161.150,Moscow,RU,55.7558,37.6173,False,True,dns_heavy_session,False,,,Europe/Moscow,12,Europe/Moscow
